Параметр: в таблицах,Параметр: в поиске или карточке,Тип,количество вариантов?,Группа (для фасетов),Формат (фасет),Есть ли поиск  ,сколько корпусов,основной,исторический: церковнославянский,исторический: древнерусский,исторический: старорусский,исторический: берестяные грамоты,обучающий,газетный (regional),газетный (paper),параллельный,диалектный,акцентологический (main),акцентологический (стихи),поэтический,устный,мультипарк,МУРКО,В каких корпусах есть,Особенности
param,name,type,,group,,issearch,,main,orthlib,oldrus,midrus,birchbank,school,regional,paper,para,dialect,accent,,poetic,spoken,multiparc,murco,,
author,Автор текста,строка или выбор из списка (реже),,автор,чекбокс,да,11,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,"все, кроме: исторический, диалектный ","в поэтическом это выбор из списка, в остальных (пока) строка"
birthday,Год рождения,Дата (точная или период),,автор,ползунок по дате,да,10,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,"все, кроме: исторический, диалектный, поэтический",
sex,Пол ,Выбор из муж/жен и комбинации,,автор,чекбокс,да,8,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,"все, кроме: исторический, диалектный, поэтический, параллельный, газетный (paper)",
dub,Приписываемые?,?,,автор,чекбокс,?,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,поэтический,везде в таблице nan
original,Автор оригинала,строка,,автор,чекбокс,да,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,поэтический,
author_trans,Автор (в скобках),строка,,автор,чекбокс,да,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,параллельный,
translator,Переводчик,строка,,автор,чекбокс,да,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,параллельный,"сделать тоже отдельную базу, как с авторами? разобраться, в чем проблема с переводчиками в multi"
audience_age,Возраст аудитории,выбор из списка,,аудитория,чекбокс,нет,8,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,"общий, газетный (regional), обучающий, акцентологический, устный, МУРКО, мультипарк",много где не определен
audience_level,Уровень подготовки аудитории,выбор из списка,,аудитория,чекбокс,нет,8,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,"общий, газетный (regional), обучающий, акцентологический, устный, МУРКО, мультипарк",много где не определен
audience_size,Размер аудитории,выбор из списка,,аудитория,чекбокс,нет,8,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,"общий, газетный (regional), обучающий, акцентологический, устный, МУРКО, мультипарк",много где не определен
created,Дата создания,Дата (точная или период),,даты,ползунок по дате,да,12,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,"все, кроме: церковнославянский, берестяные грамоты, древнерусский, диалектный","Есть похожие поля в других корпусах (с датами или датой записи, как в диалектном)"
stratigraphic_date,-,"Дата, заданная строкой (описательно)",,даты,нет ,нет,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,берестяные грамоты,
speaker_birthdate,Год рождения информанта,число,,даты,ползунок по дате,да,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,диалектный,
approx_date,Условная дата,"Дата, период вида (например) ""1100-1200""",,даты,чекбокс,да,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,берестяные грамоты,
period,Датировка,выбор из списка,,даты,чекбокс,да,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,церковнославянский,
exact,Точность даты,выбор из списка,,даты ,нет,нет,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,поэтический,
